年份,物种名,样线编码,调查次序,省份,长度,宽度,经度,纬度,物种数量
2014,珠颈斑鸠,4400521009,2,广东,100,50,113.1369833,24.87633333,1
2014,喜鹊,4400521009,2,广东,100,50,113.1369833,24.87633333,4
2014,黄腹山鹪莺,4400521009,2,广东,100,50,113.1369833,24.87633333,1
2014,绿鹭,4400521009,2,广东,100,50,113.1369833,24.87633333,1
2014,白鹡鸰,4400521009,2,广东,100,50,113.1369833,24.87633333,1
2014,画眉,4400521009,2,广东,100,50,113.1369833,24.87633333,1
2014,纯色山鹪莺,4400521009,2,广东,100,50,113.1369833,24.87633333,1
2014,小鸦鹃,4400521009,2,广东,100,50,113.1369833,24.87633333,1
2014,珠颈斑鸠,4400521009,2,广东,100,50,113.1369833,24.87633333,1
2014,灰鹡鸰,4400521009,2,广东,100,50,113.1369833,24.87633333,1
2014,棕背伯劳,4400521009,2,广东,100,50,113.1369833,24.87633333,1
2014,强脚树莺,4400521009,2,广东,100,50,113.1369833,24.87633333,1
2014,黄腹山鹪莺,4400521009,2,广东,100,50,113.1369833,24.87633333,1
2014,红头穗鹛,4400521009,2,广东,100,50,113.1369833,24.87633333,1
2014,黑冠鹃隼,4400521009,2,广东,100,50,113.1369833,24.87633333,1
2014,白颊噪鹛,4400521009,2,广东,100,50,113.1369833,24.87633333,5
2014,画眉,4400521009,2,广东,100,50,113.1369833,24.87633333,1
2014,鹊鸲,4400521009,2,广东,100,50,113.1369833,24.87633333,1
2014,发冠卷尾,4400521009,2,广东,100,50,113.1369833,24.87633333,3
2014,大山雀,4400521009,2,广东,100,50,113.1369833,24.87633333,3
2014,红耳鹎,4400521009,2,广东,100,50,113.1369833,24.87633333,2
2014,黑喉山鹪莺,4400521009,2,广东,100,50,113.1369833,24.87633333,1
2014,褐翅鸦鹃,4400521009,2,广东,100,50,113.1369833,24.87633333,2
2014,棕颈钩嘴鹛,4400521009,2,广东,100,50,113.1369833,24.87633333,1
2014,白头鹎,4400521009,2,广东,100,50,113.1369833,24.87633333,2
2014,黄腹山鹪莺,4400521009,2,广东,100,50,113.1369833,24.87633333,1
2014,斑胸钩嘴鹛,4400521009,2,广东,100,50,113.1369833,24.87633333,2
2014,栗背短脚鹎,4400521009,2,广东,100,50,113.1369833,24.87633333,2
2014,棕背伯劳,4400521009,2,广东,100,50,113.1369833,24.87633333,1
2014,白颊噪鹛,4400521009,2,广东,100,50,113.1369833,24.87633333,10
2014,普通翠鸟,4400521009,2,广东,100,50,113.1369833,24.87633333,1
2014,红耳鹎,4400521009,2,广东,100,50,113.1369833,24.87633333,2
2014,褐翅鸦鹃,4400521009,2,广东,100,50,113.1369833,24.87633333,2
2014,珠颈斑鸠,4400521009,2,广东,100,50,113.1369833,24.87633333,1
2014,普通翠鸟,4400521009,2,广东,100,50,113.1369833,24.87633333,1
2014,小䴙䴘,4400521009,2,广东,100,50,113.1369833,24.87633333,5
2014,棕颈钩嘴鹛,4400521009,2,广东,100,50,113.1369833,24.87633333,1
2014,领雀嘴鹎,4400521009,2,广东,100,50,113.1369833,24.87633333,3
2014,灰胸竹鸡,4400521009,2,广东,100,50,113.1369833,24.87633333,3
2014,白头鹎,4400521010,2,广东,100,50,113.0983333,24.92836667,2
2014,白鹡鸰,4400521010,2,广东,100,50,113.0983333,24.92836667,1
2014,纯色山鹪莺,4400521010,2,广东,100,50,113.0983333,24.92836667,2
2014,麻雀,4400521010,2,广东,100,50,113.0983333,24.92836667,1
2014,栗背短脚鹎,4400521010,2,广东,100,50,113.0983333,24.92836667,3
2014,棕背伯劳,4400521010,2,广东,100,50,113.0983333,24.92836667,1
2014,红嘴相思鸟,4400521010,2,广东,100,50,113.0983333,24.92836667,2
2014,珠颈斑鸠,4400521010,2,广东,100,50,113.0983333,24.92836667,1
2014,领雀嘴鹎,4400521010,2,广东,100,50,113.0983333,24.92836667,3
2014,红嘴蓝鹊,4400521010,2,广东,100,50,113.0983333,24.92836667,1
2014,纯色山鹪莺,4400521010,2,广东,100,50,113.0983333,24.92836667,1
2014,小鸦鹃,4400521010,2,广东,100,50,113.0983333,24.92836667,1
2014,珠颈斑鸠,4400521010,2,广东,100,50,113.0983333,24.92836667,1
2014,棕颈钩嘴鹛,4400521010,2,广东,100,50,113.0983333,24.92836667,1
2014,栗背短脚鹎,4400521005,1,广东,100,50,113.0201,24.89543333,3
2014,黑短脚鹎,4400521005,1,广东,100,50,113.0201,24.89543333,3
2014,灰背燕尾,4400521005,1,广东,100,50,113.0201,24.89543333,1
2014,红角鸮,4400521005,1,广东,100,50,113.0201,24.89543333,1
2014,灰树鹊,4400521005,1,广东,100,50,113.0201,24.89543333,1
2014,棕颈钩嘴鹛,4400521005,1,广东,100,50,113.0201,24.89543333,1
2014,白鹇,4400521005,1,广东,100,50,113.0201,24.89543333,3
2014,绿翅短脚鹎,4400521005,1,广东,100,50,113.0201,24.89543333,2
2014,黄颊山雀,4400521005,1,广东,100,50,113.0201,24.89543333,2
2014,灰喉山椒鸟,4400521005,1,广东,100,50,113.0201,24.89543333,2
2014,栗背短脚鹎,4400521005,1,广东,100,50,113.0201,24.89543333,2
2014,灰眶雀鹛,4400521005,1,广东,100,50,113.0201,24.89543333,10
2014,大拟啄木鸟,4400521005,1,广东,100,50,113.0201,24.89543333,1
2014,斑胸钩嘴鹛,4400521005,1,广东,100,50,113.0201,24.89543333,2
2014,栗背短脚鹎,4400521005,1,广东,100,50,113.0201,24.89543333,3
2014,发冠卷尾,4400521005,1,广东,100,50,113.0201,24.89543333,2
2014,灰树鹊,4400521005,1,广东,100,50,113.0201,24.89543333,1
2014,绿翅短脚鹎,4400521005,1,广东,100,50,113.0201,24.89543333,2
2014,栗背短脚鹎,4400521005,1,广东,100,50,113.0201,24.89543333,1
2014,灰树鹊,4400521005,1,广东,100,50,113.0201,24.89543333,2
