年份,物种名,样线编码,调查次序,省份,长度,宽度,起点经度,起点纬度,物种数量
2018,远东树莺,1300121001,2,河北,100,100,113.81472,38.68389,2
2018,喜鹊,1300121001,2,河北,100,100,113.81472,38.68389,3
2018,北红尾鸲,1300121001,2,河北,100,100,113.81472,38.68389,1
2018,麻雀,1300121001,2,河北,100,100,113.81472,38.68389,6
2018,环颈雉,1300121001,2,河北,100,100,113.81472,38.68389,1
2018,戴胜,1300121001,2,河北,100,100,113.81472,38.68389,2
2018,灰斑鸠,1300121001,2,河北,100,100,113.81472,38.68389,1
2018,珠颈斑鸠,1300121001,2,河北,100,100,113.81472,38.68389,2
2018,喜鹊,1300121001,2,河北,100,100,113.81472,38.68389,1
2018,灰鹡鸰,1300121001,2,河北,100,100,113.81472,38.68389,1
2018,红嘴蓝鹊,1300121001,2,河北,100,100,113.81472,38.68389,3
2018,北红尾鸲,1300121001,2,河北,100,100,113.81472,38.68389,2
2018,喜鹊,1300121001,2,河北,100,100,113.81472,38.68389,6
2018,大山雀,1300121001,2,河北,100,100,113.81472,38.68389,1
2018,灰斑鸠,1300121001,2,河北,100,100,113.81472,38.68389,1
2018,环颈雉,1300121010,1,河北,100,100,113.82812,38.75022,1
2018,星鸦,1300121010,1,河北,100,100,113.82812,38.75022,4
2018,大山雀,1300121010,1,河北,100,100,113.82812,38.75022,7
2018,噪鹃,1300121010,1,河北,100,100,113.82812,38.75022,1
2018,云南柳莺,1300121010,1,河北,100,100,113.82812,38.75022,5
2018,鹪鹩,1300121010,1,河北,100,100,113.82812,38.75022,2
2018,乌嘴柳莺,1300121010,1,河北,100,100,113.82812,38.75022,2
2018,鹪鹩,1300121010,1,河北,100,100,113.82812,38.75022,2
2018,云南柳莺,1300121010,1,河北,100,100,113.82812,38.75022,3
2018,冠纹柳莺,1300121010,1,河北,100,100,113.82812,38.75022,2
2018,环颈雉,1300121010,1,河北,100,100,113.82812,38.75022,1
2018,大山雀,1300121010,1,河北,100,100,113.82812,38.75022,3
2018,远东树莺,1300121010,1,河北,100,100,113.82812,38.75022,3
2018,白腹短翅鸲,1300121010,1,河北,100,100,113.82812,38.75022,1
2018,栗耳鹀,1300121010,1,河北,100,100,113.82812,38.75022,1
2018,夜鹭,1300121005,2,河北,100,100,114.22889,38.27194,14
2018,池鹭,1300121005,2,河北,100,100,114.22889,38.27194,7
2018,大杜鹃,1300121005,2,河北,100,100,114.22889,38.27194,2
2018,黑翅长脚鹬,1300121005,2,河北,100,100,114.22889,38.27194,23
2018,白鹭,1300121005,2,河北,100,100,114.22889,38.27194,4
2018,灰翅浮鸥,1300121005,2,河北,100,100,114.22889,38.27194,3
2018,灰椋鸟,1300121005,2,河北,100,100,114.22889,38.27194,10
2018,苍鹭,1300121005,2,河北,100,100,114.22889,38.27194,3
2018,喜鹊,1300121005,2,河北,100,100,114.22889,38.27194,6
2018,家燕,1300121005,2,河北,100,100,114.22889,38.27194,100
2018,黑卷尾,1300121005,2,河北,100,100,114.22889,38.27194,2
2018,麻雀,1300121005,2,河北,100,100,114.22889,38.27194,30
2018,白头鹎,1300121005,2,河北,100,100,114.22889,38.27194,6
2018,普通翠鸟,1300121005,2,河北,100,100,114.22889,38.27194,3
2018,灰斑鸠,1300121005,2,河北,100,100,114.22889,38.27194,1
2018,珠颈斑鸠,1300121005,2,河北,100,100,114.22889,38.27194,1
2018,麻雀,1300121005,2,河北,100,100,114.22889,38.27194,17
2018,白头鹎,1300121005,2,河北,100,100,114.22889,38.27194,2
2018,大杜鹃,1300121005,2,河北,100,100,114.22889,38.27194,4
2018,黑卷尾,1300121005,2,河北,100,100,114.22889,38.27194,3
2018,金翅雀,1300121005,2,河北,100,100,114.22889,38.27194,2
2018,苍鹭,1300121005,2,河北,100,100,114.22889,38.27194,2
2018,白鹭,1300121005,2,河北,100,100,114.22889,38.27194,3
2018,家燕,1300121005,2,河北,100,100,114.22889,38.27194,100
2018,黑卷尾,1300121005,2,河北,100,100,114.22889,38.27194,4
2018,麻雀,1300121005,2,河北,100,100,114.22889,38.27194,15
2018,喜鹊,1300121005,2,河北,100,100,114.22889,38.27194,6
2018,大杜鹃,1300121005,2,河北,100,100,114.22889,38.27194,1
2018,麻雀,1300121005,2,河北,100,100,114.22889,38.27194,12
2018,白头鹎,1300121005,2,河北,100,100,114.22889,38.27194,2
2018,麻雀,1300121005,2,河北,100,100,114.22889,38.27194,80
2018,白鹭,1300121005,2,河北,100,100,114.22889,38.27194,2
2018,灰翅浮鸥,1300121005,1,河北,100,100,114.22889,38.27194,10
2018,苍鹭,1300121005,1,河北,100,100,114.22889,38.27194,2
2018,红嘴蓝鹊,1300121001,2,河北,100,100,113.81472,38.68389,2
2018,岩鸽,1300121001,2,河北,100,100,113.81472,38.68389,1
2018,北红尾鸲,1300121001,2,河北,100,100,113.81472,38.68389,3
2018,大嘴乌鸦,1300121001,2,河北,100,100,113.81472,38.68389,5
2018,红尾水鸲,1300121001,2,河北,100,100,113.81472,38.68389,1
2018,褐河乌,1300121001,2,河北,100,100,113.81472,38.68389,1
2018,喜鹊,1300121001,2,河北,100,100,113.81472,38.68389,1
2018,红嘴蓝鹊,1300121001,2,河北,100,100,113.81472,38.68389,1
2018,灰头绿啄木鸟,1300121001,2,河北,100,100,113.81472,38.68389,1
2018,喜鹊,1300121001,2,河北,100,100,113.81472,38.68389,2
2018,褐河乌,1300121001,2,河北,100,100,113.81472,38.68389,2
2018,红嘴蓝鹊,1300121001,2,河北,100,100,113.81472,38.68389,2
2018,褐河乌,1300121001,2,河北,100,100,113.81472,38.68389,1
