дЙ╥щ,нОжжцШ,яЫоъ╠ЮбК,╣В╡И╢нпР,й║╥щ,Ё╓╤х,©М╤х,╬╜╤х,нЁ╤х,нОжжйЩа©
2020,╨зн╡ю╞вЛх╦,2100621001,1,аидЧ,100,100,122.96252,39.98148,1
2020,╨зн╡ю╞вЛх╦,2100621001,1,аидЧ,100,100,122.96252,39.98148,1
2020,╟вц╪╪╖Шl,2100621001,1,аидЧ,100,100,122.96252,39.98148,2
2020,устСи╫х╦,2100621001,1,аидЧ,100,100,122.96252,39.98148,1
2020,и╫╟ъП╞,2100621001,1,аидЧ,100,100,122.96252,39.98148,2
2020,╢С╟ъвдд╬дЯ,2100621001,1,аидЧ,100,100,122.96252,39.98148,1
2020,цАаЬщ╨,2100621001,1,аидЧ,100,100,122.96252,39.98148,1
2020,юУ╤З╤л╫еПг,2100621001,1,аидЧ,100,100,122.96252,39.98148,1
2020,╢Си╫х╦,2100621001,1,аидЧ,100,100,122.96252,39.98148,1
2020,ашм╥йВщ╨,2100621001,1,аидЧ,100,100,122.96252,39.98148,1
2020,тси╚и╫х╦,2100621001,1,аидЧ,100,100,122.96252,39.98148,1
2020,цАаЬщ╨,2100621001,1,аидЧ,100,100,122.96252,39.98148,1
2020,╩ф╨МШc,2100621001,1,аидЧ,100,100,122.96252,39.98148,1
2020,╟в╦╧ю╤╪╖Шl,2100621001,1,аидЧ,100,100,122.96252,39.98148,1
2020,╢Си╫х╦,2100621001,1,аидЧ,100,100,122.96252,39.98148,1
2020,╠╠╨Лн╡П╤,2100621001,1,аидЧ,100,100,122.96252,39.98148,1
2020,╢Си╫х╦,2100621001,1,аидЧ,100,100,122.96252,39.98148,1
2020,хЩ╣юц╪╡щШc,2100621001,1,аидЧ,100,100,122.96252,39.98148,1
2020,тси╚и╫х╦,2100621001,1,аидЧ,100,100,122.96252,39.98148,2
2020,╩ро╡х╣,2100621001,1,аидЧ,100,100,122.96252,39.98148,1
2020,п║вЛнзя╩,2100621001,1,аидЧ,100,100,122.96252,39.98148,1
2020,╩╥╬╠ОТ,2100621001,1,аидЧ,100,100,122.96252,39.98148,2
2020,ашм╥йВщ╨,2100621001,1,аидЧ,100,100,122.96252,39.98148,1
2020,и╫╟ъП╞,2100621001,1,аидЧ,100,100,122.96252,39.98148,2
2020,╟вц╪╪╖Шl,2100621001,1,аидЧ,100,100,122.96252,39.98148,1
2020,бИх╦,2100621001,1,аидЧ,100,100,122.96252,39.98148,3
2020,╩ро╡х╣,2100621001,1,аидЧ,100,100,122.96252,39.98148,1
2020,╠╠╨Лн╡П╤,2100621001,1,аидЧ,100,100,122.96252,39.98148,2
2020,╩р╠ЁП╢,2100621001,1,аидЧ,100,100,122.96252,39.98148,1
2020,╩╥╬╠ОТ,2100621001,1,аидЧ,100,100,122.96252,39.98148,1
2020,и╫╟ъП╞,2100621001,1,аидЧ,100,100,122.96252,39.98148,1
2020,тси╚и╫х╦,2100621001,1,аидЧ,100,100,122.96252,39.98148,1
2020,╨зн╡ю╞вЛх╦,2100621001,1,аидЧ,100,100,122.96252,39.98148,1
2020,╩ро╡х╣,2100621001,2,аидЧ,100,100,122.96252,39.98148,5
2020,╩╥╬╠ОТ,2100621001,2,аидЧ,100,100,122.96252,39.98148,1
2020,╩рШnШ_,2100621001,2,аидЧ,100,100,122.96252,39.98148,2
2020,╩ро╡х╣,2100621001,2,аидЧ,100,100,122.96252,39.98148,2
2020,юУ╤З╤л╫еПг,2100621001,2,аидЧ,100,100,122.96252,39.98148,1
2020,╩ро╡х╣,2100621001,2,аидЧ,100,100,122.96252,39.98148,6
2020,╢С╟ъвдд╬дЯ,2100621001,2,аидЧ,100,100,122.96252,39.98148,1
2020,бИх╦,2100621001,2,аидЧ,100,100,122.96252,39.98148,4
2020,╠╠╨Лн╡П╤,2100621001,2,аидЧ,100,100,122.96252,39.98148,2
2020,╩ро╡х╣,2100621001,2,аидЧ,100,100,122.96252,39.98148,3
2020,╢С╟ъвдд╬дЯ,2100621001,2,аидЧ,100,100,122.96252,39.98148,1
2020,тси╚и╫х╦,2100621001,2,аидЧ,100,100,122.96252,39.98148,2
2020,юУ╤З╤л╫еПг,2100621001,2,аидЧ,100,100,122.96252,39.98148,2
2020,╢Си╫х╦,2100621001,2,аидЧ,100,100,122.96252,39.98148,1
2020,фум╗Ч≤,2100621001,2,аидЧ,100,100,122.96252,39.98148,2
2020,устСи╫х╦,2100621001,2,аидЧ,100,100,122.96252,39.98148,2
2020,рЬ╨МЁ╓н╡и╫х╦,2100621001,2,аидЧ,100,100,122.96252,39.98148,6
2020,юУ╤З╤л╫еПг,2100621001,2,аидЧ,100,100,122.96252,39.98148,2
2020,вьм╥я╩х╦,2100621001,2,аидЧ,100,100,122.96252,39.98148,2
2020,и╫╟ъП╞,2100621001,2,аидЧ,100,100,122.96252,39.98148,1
2020,╢Си╫х╦,2100621001,2,аидЧ,100,100,122.96252,39.98148,3
2020,╩ф╨МШc,2100621001,2,аидЧ,100,100,122.96252,39.98148,3
