年份,物种名,样线编码,调查次序,省份,长度,宽度,经度,纬度,物种数量
2020,冕柳莺,2200121001,1,吉林,100,100,126.05,44.06419,1
2020,大山雀,2200121001,1,吉林,100,100,126.05,44.06419,2
2020,普通䴓,2200121001,1,吉林,100,100,126.05,44.06419,1
2020,红胁绣眼鸟,2200121001,1,吉林,100,100,126.05,44.06419,1
2020,环颈雉,2200121001,1,吉林,100,100,126.05,44.06419,1
2020,白眉姬鹟,2200121001,1,吉林,100,100,126.05,44.06419,1
2020,黄喉鹀,2200121001,1,吉林,100,100,126.05,44.06419,1
2020,灰头绿啄木鸟,2200121001,1,吉林,100,100,126.05,44.06419,1
2020,花尾榛鸡,2200121001,1,吉林,100,100,126.05,44.06419,1
2020,黄腰柳莺,2200121001,1,吉林,100,100,126.05,44.06419,1
2020,灰背鸫,2200121001,1,吉林,100,100,126.05,44.06419,1
2020,黄喉鹀,2200121001,1,吉林,100,100,126.05,44.06419,1
2020,灰背鸫,2200121001,1,吉林,100,100,126.05,44.06419,1
2020,山斑鸠,2200121001,1,吉林,100,100,126.05,44.06419,1
2020,普通䴓,2200121001,1,吉林,100,100,126.05,44.06419,1
2020,白眉姬鹟,2200121001,1,吉林,100,100,126.05,44.06419,1
2020,普通䴓,2200121001,1,吉林,100,100,126.05,44.06419,2
2020,山斑鸠,2200121001,1,吉林,100,100,126.05,44.06419,1
2020,灰背鸫,2200121001,1,吉林,100,100,126.05,44.06419,1
2020,沼泽山雀,2200121001,1,吉林,100,100,126.05,44.06419,1
2020,大山雀,2200121001,1,吉林,100,100,126.05,44.06419,1
2020,北灰鹟,2200121001,1,吉林,100,100,126.05,44.06419,1
2020,环颈雉,2200121001,1,吉林,100,100,126.05,44.06419,1
2020,灰喜鹊,2200121001,1,吉林,100,100,126.05,44.06419,1
2020,黄喉鹀,2200121001,1,吉林,100,100,126.05,44.06419,1
2020,普通䴓,2200121001,1,吉林,100,100,126.05,44.06419,1
2020,山鹡鸰,2200121001,1,吉林,100,100,126.05,44.06419,1
2020,大山雀,2200121001,1,吉林,100,100,126.05,44.06419,2
2020,白眉姬鹟,2200121001,1,吉林,100,100,126.05,44.06419,1
2020,山斑鸠,2200121001,1,吉林,100,100,126.05,44.06419,1
2020,黄喉鹀,2200121001,1,吉林,100,100,126.05,44.06419,1
2020,普通䴓,2200121001,1,吉林,100,100,126.05,44.06419,1
2020,白眉姬鹟,2200121001,1,吉林,100,100,126.05,44.06419,1
2020,北灰鹟,2200121001,1,吉林,100,100,126.05,44.06419,1
