ƒÍ∑›,ŒÔ÷÷√˚,—˘œﬂ±‡¬Î,µ˜≤È¥Œ–Ú, °∑›,≥§∂»,øÌ∂»,æ≠∂»,Œ≥∂»,ŒÔ÷÷ ˝¡ø
2020,¬È»∏,6200221001,1,∏ À‡,100,100,97.26936,40.42479,34
2020,º“—‡,6200221001,1,∏ À‡,100,100,97.26936,40.42479,4
2020,∆’Õ®—‡≈∏,6200221001,1,∏ À‡,100,100,97.26936,40.42479,2
2020,¥˜ §,6200221001,1,∏ À‡,100,100,97.26936,40.42479,1
2020,º“—‡,6200221001,1,∏ À‡,100,100,97.26936,40.42479,10
2020,ª∆Õ∑˚n˚_,6200221001,1,∏ À‡,100,100,97.26936,40.42479,3
2020,∫⁄≥·≥§Ω≈÷,6200221001,1,∏ À‡,100,100,97.26936,40.42479,2
2020,∫ÏΩ≈÷,6200221001,1,∏ À‡,100,100,97.26936,40.42479,7
2020,∫⁄≥·≥§Ω≈÷,6200221001,1,∏ À‡,100,100,97.26936,40.42479,4
2020,≥‡¬È—º,6200221001,1,∏ À‡,100,100,97.26936,40.42479,1
2020,Ì∂÷,6200221001,1,∏ À‡,100,100,97.26936,40.42479,2
2020,Œƒ–Î»∏,6200221001,1,∏ À‡,100,100,97.26936,40.42479,9
2020,≤‘ÿ,6200221001,1,∏ À‡,100,100,97.26936,40.42479,1
2020,∞◊˚n˚_,6200221001,1,∏ À‡,100,100,97.26936,40.42479,3
2020,Ì∂÷,6200221001,1,∏ À‡,100,100,97.26936,40.42479,2
2020,∑ÔÕ∑˛û˛ù,6200221001,1,∏ À‡,100,100,97.26936,40.42479,14
2020,∫⁄≥·≥§Ω≈÷,6200221001,1,∏ À‡,100,100,97.26936,40.42479,2
2020,»˝µ¿√º≤›˚c,6200221001,1,∏ À‡,100,100,97.26936,40.42479,1
2020,ª∆Õ∑˚n˚_,6200221001,1,∏ À‡,100,100,97.26936,40.42479,2
2020,∑ÔÕ∑˛û˛ù,6200221001,1,∏ À‡,100,100,97.26936,40.42479,13
2020,∆’Õ®”Í—‡,6200221001,1,∏ À‡,100,100,97.26936,40.42479,7
2020,≤‘ÿ,6200221001,1,∏ À‡,100,100,97.26936,40.42479,2
2020,”Ê≈∏,6200221001,1,∏ À‡,100,100,97.26936,40.42479,1
2020,ΩøÙ˚a,6200221001,1,∏ À‡,100,100,97.26936,40.42479,1
2020,∆’Õ®—‡≈∏,6200221001,1,∏ À‡,100,100,97.26936,40.42479,1
2020,∑ÔÕ∑˛û˛ù,6200221001,1,∏ À‡,100,100,97.26936,40.42479,22
2020,≥‡¬È—º,6200221001,1,∏ À‡,100,100,97.26936,40.42479,2
2020,ª∆Õ∑˚n˚_,6200221001,1,∏ À‡,100,100,97.26936,40.42479,5
2020,∆’Õ®µÀ,6200221001,1,∏ À‡,100,100,97.26936,40.42479,7
2020,∞◊π«∂•,6200221001,1,∏ À‡,100,100,97.26936,40.42479,2
2020,Œƒ–Î»∏,6200221001,1,∏ À‡,100,100,97.26936,40.42479,2
2020,≥‡◊Ï«±—º,6200221001,1,∏ À‡,100,100,97.26936,40.42479,2
2020,ª∆Õ∑˚n˚_,6200221001,1,∏ À‡,100,100,97.26936,40.42479,2
2020,≤‘ÿ,6200221001,1,∏ À‡,100,100,97.26936,40.42479,1
2020,≥‡◊Ï«±—º,6200221001,1,∏ À‡,100,100,97.26936,40.42479,51
