年份,物种名,样线编码,调查次序,省份,长度,宽度,经度,纬度,物种数量
2011,小??,150042201001 ,1,内蒙古,100,100,109°59.86′,40°31.728′,2
2011,灰翅浮鸥,150042201001 ,1,内蒙古,100,100,109°59.86′,40°31.728′,1
2011,斑嘴鸭,150042201001 ,1,内蒙古,100,100,109°59.86′,40°31.728′,4
2011,黑翅长脚鹬,150042201001 ,1,内蒙古,100,100,109°59.86′,40°31.728′,1
2011,白骨顶,150042201001 ,1,内蒙古,100,100,109°59.86′,40°31.728′,7
2011,凤头??,150042201001 ,1,内蒙古,100,100,109°59.86′,40°31.728′,30
2011,赤嘴潜鸭,150042201001 ,1,内蒙古,100,100,109°59.86′,40°31.728′,12
2011,普通燕鸥,150042201001 ,1,内蒙古,100,100,109°59.86′,40°31.728′,16
2011,赤膀鸭,150042201001 ,1,内蒙古,100,100,109°59.86′,40°31.728′,4
2011,灰翅浮鸥,150042201002 ,1,内蒙古,100,100,110°02.150,40°332.489′,1
2011,赤嘴潜鸭,150042201002 ,1,内蒙古,100,100,110°02.150,40°332.489′,5
2011,普通燕鸥,150042201002 ,1,内蒙古,100,100,110°02.150,40°332.489′,82
2011,黑翅长脚鹬,150042201002 ,1,内蒙古,100,100,110°02.150,40°332.489′,11
2011,白骨顶,150042201002 ,1,内蒙古,100,100,110°02.150,40°332.489′,1
2011,黄头鹡鸰,150042201002 ,1,内蒙古,100,100,110°02.150,40°332.489′,2
2011,黄鹡鸰,150042201002 ,1,内蒙古,100,100,110°02.150,40°332.489′,2
2011,小??,150042201002 ,1,内蒙古,100,100,110°02.150,40°332.489′,2
2011,矶鹬,150042201002 ,1,内蒙古,100,100,110°02.150,40°332.489′,1
2011,东方大苇莺,150042201002 ,1,内蒙古,100,100,110°02.150,40°332.489′,4
2011,大白鹭,150042201002 ,1,内蒙古,100,100,110°02.150,40°332.489′,2
2011,林鹬,150042201002 ,1,内蒙古,100,100,110°02.150,40°332.489′,2
2011,草鹭,150042201002 ,1,内蒙古,100,100,110°02.150,40°332.489′,2
2011,黑水鸡,150042201002 ,1,内蒙古,100,100,110°02.150,40°332.489′,2
2012,反嘴鹬,150042201001 ,1,内蒙古,100,100,109°59.860′,40°31.728′,2
2012,苍鹭,150042201001 ,1,内蒙古,100,100,109°59.860′,40°31.728′,1
2012,普通雨燕,150042201001 ,1,内蒙古,100,100,109°59.860′,40°31.728′,17
2012,灰翅浮鸥,150042201002 ,1,内蒙古,100,100,110°02.150′,40°32.489′,25
2012,赤嘴潜鸭,150042201002 ,1,内蒙古,100,100,110°02.150′,40°32.489′,6
2012,普通燕鸥,150042201002 ,1,内蒙古,100,100,110°02.150′,40°32.489′,67
2012,白骨顶,150042201002 ,1,内蒙古,100,100,110°02.150′,40°32.489′,2
2012,黄鹡鸰,150042201002 ,1,内蒙古,100,100,110°02.150′,40°32.489′,10
2012,小??,150042201002 ,1,内蒙古,100,100,110°02.150′,40°32.489′,2
2012,东方大苇莺,150042201002 ,1,内蒙古,100,100,110°02.150′,40°32.489′,19
2012,大白鹭,150042201002 ,1,内蒙古,100,100,110°02.150′,40°32.489′,7
2012,苍鹭,150042201002 ,1,内蒙古,100,100,110°02.150′,40°32.489′,7
2012,普通雨燕,150042201002 ,1,内蒙古,100,100,110°02.150′,40°32.489′,48
2012,普通翠鸟,150042201002 ,1,内蒙古,100,100,110°02.150′,40°32.489′,1
2012,小??,150042201001 ,1,内蒙古,100,100,109°59.860′,40°31.728′,3
